artist,title,lines,words,total_LQI,codeswitch_score,repetition_score,cadence_text_score,rhyme,internal,chain,multi_dens,compound_dens,holorime_dens,syl_density,syl_weight,alliteration,assonance,consonance,onomatopoeia,vocab,wordplay,simile,metaphor,pun,entendre,english,codeswitch,repetition,cadence_var,coherence_cosine,theme_cosine,pairwise_spread,mean_surprisal_nats,callback_cosine
Brodha V,Aigiri Nandini,170,948,44.26,45.44,10.36,77.1,43.14,100.0,30.48,40.0,0.0,0.0,95.0,91.4,99.78,86.38,100.0,0.0,78.73,0.0,0.0,0.0,0.0,0.0,18.33,18.82,2.37,47.1,0.5162,0.7384,0.4624,7.5082,0.9422
Brodha V,Flex,21,162,39.89,94.71,90.0,76.38,49.44,78.43,0.0,14.29,0.0,0.0,88.25,75.83,94.23,88.46,90.36,0.0,78.46,66.07,0.0,0.0,9.52,4.76,32.79,76.19,40.0,46.38,0.6145,0.7477,0.4629,7.6906,0.7339
Brodha V,Forever,74,644,32.41,89.05,0.0,90.28,19.01,50.93,0.0,5.41,0.0,0.0,87.99,80.43,81.99,60.36,88.67,10.81,97.26,83.94,13.51,1.35,2.7,8.11,78.27,54.05,0.0,61.14,0.2379,0.4549,0.8065,4.9346,0.4303
Brodha V,Ready Steady Po,59,445,31.55,73.98,30.17,98.48,11.25,23.26,0.0,3.39,0.0,0.0,66.1,43.12,86.84,44.27,58.26,78.26,57.0,12.43,3.39,0.0,0.0,0.0,75.34,38.98,6.9,93.91,0.3466,0.5921,0.6607,5.3311,0.7458
Brodha V,Vainko,88,515,31.56,59.85,42.92,91.39,12.97,22.6,0.0,4.71,0.0,0.0,61.45,51.82,43.46,53.55,59.24,0.0,75.08,59.66,8.24,3.53,0.0,5.88,64.31,27.06,10.71,65.58,0.2875,0.5001,0.7626,4.4673,0.5475
Calm,Bam Bam,27,239,38.74,94.24,16.83,93.97,27.84,86.42,0.0,7.41,0.0,0.0,85.93,50.2,100.0,54.41,78.21,100.0,60.51,11.27,0.0,0.0,0.0,3.7,60.45,74.07,3.85,75.87,0.5241,0.7367,0.4748,5.6201,0.8184
Calm,Ringtone,86,500,35.96,73.37,20.59,79.78,14.34,20.41,0.0,4.65,0.0,0.0,65.21,63.73,59.71,80.71,82.62,0.0,56.67,23.33,0.0,0.0,3.49,0.0,33.12,38.37,4.71,49.78,0.5557,0.7088,0.506,7.587,0.827
CarryMinati,Date Kar Le,48,275,39.42,92.59,0.0,54.06,20.48,24.69,31.75,2.08,0.0,0.0,56.46,73.18,92.39,34.55,58.81,0.0,73.85,14.84,0.0,0.0,2.08,2.08,36.36,66.67,0.0,28.75,0.4373,0.6803,0.5487,7.258,0.8537
CarryMinati,Jalwa,48,277,33.47,66.25,27.93,43.93,48.31,24.39,27.87,45.83,0.0,0.0,55.0,21.95,37.61,58.11,36.79,0.0,95.0,59.17,8.33,4.17,4.17,0.0,14.02,31.25,6.38,22.96,0.6323,0.7886,0.3862,7.0915,0.883
CarryMinati,Trigger,64,392,34.78,88.97,44.6,68.88,52.88,32.79,42.15,28.57,0.0,0.0,63.77,71.96,40.59,65.83,72.04,0.0,96.88,23.28,3.17,0.0,1.59,1.59,20.8,53.97,11.29,38.88,0.5216,0.7205,0.489,7.395,0.8094
CarryMinati,Vardaan,57,375,30.83,91.03,0.0,62.82,22.59,59.26,0.0,5.26,0.0,0.0,69.12,72.87,76.25,74.95,52.36,0.0,80.75,4.97,1.75,0.0,0.0,0.0,17.19,59.65,0.0,33.75,0.5848,0.778,0.4018,6.9258,0.841
CarryMinati,Warrior,78,445,29.42,91.74,45.76,56.69,34.39,33.82,28.99,10.26,0.0,0.0,51.79,48.23,65.51,52.73,51.54,0.0,81.2,42.31,0.0,0.0,5.13,0.0,27.82,62.82,11.69,30.25,0.5685,0.7142,0.4982,6.8189,0.7485
CarryMinati,Yalgaar,60,383,37.37,73.33,51.21,74.51,48.74,8.33,50.0,15.0,0.0,0.0,73.95,82.59,91.72,30.0,78.65,0.0,67.69,25.62,0.0,0.0,3.33,1.67,25.87,38.33,13.56,44.51,0.503,0.6941,0.5269,5.6629,0.8381
CarryMinati,Zindagi,41,230,27.9,56.25,0.0,79.75,46.63,26.67,34.29,20.0,0.0,0.0,57.25,49.52,28.68,49.7,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,7.53,25.0,0.0,49.75,0.6657,0.8336,0.3129,5.28,0.9257
