artist,title,rhyme,wordplay,texture,rare,internal,chain,multi_dens,compound_dens,holorime_dens,simile,metaphor,pun,entendre,alliteration,assonance,consonance,onomatopoeia
Brodha V,Aigiri Nandini,43.14,0.0,Assonant · Alliterative,Baseline,100.0,30.48,40.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,86.38,100.0,0.0
Brodha V,Flex,49.44,66.07,Baseline,Baseline,78.43,0.0,14.29,0.0,0.0,0.0,0.0,9.52,4.76,0.0,88.46,90.36,0.0
Brodha V,Forever,19.01,83.94,Alliterative · Consonant-Rich,Baseline,50.93,0.0,5.41,0.0,0.0,13.51,1.35,2.7,8.11,46.1,60.36,88.67,10.81
Brodha V,Ready Steady Po,11.25,12.43,Alliterative · Consonant-Rich,noise,23.26,0.0,3.39,0.0,0.0,3.39,0.0,0.0,0.0,80.71,44.27,58.26,78.26
Brodha V,Vainko,12.97,59.66,Baseline,Baseline,22.6,0.0,4.71,0.0,0.0,8.24,3.53,0.0,5.88,0.0,53.55,59.24,0.0
Calm,Bam Bam,27.84,11.27,Alliterative · Consonant-Rich,noise,86.42,0.0,7.41,0.0,0.0,0.0,0.0,0.0,3.7,100.0,54.41,78.21,100.0
Calm,Ringtone,14.34,23.33,Alliterative · Consonant-Rich,Baseline,20.41,0.0,4.65,0.0,0.0,0.0,0.0,3.49,0.0,53.53,80.71,82.62,0.0
CarryMinati,Date Kar Le,20.48,14.84,Alliterative,Baseline,24.69,31.75,2.08,0.0,0.0,0.0,0.0,2.08,2.08,39.09,34.55,58.81,0.0
CarryMinati,Jalwa,48.31,59.17,Baseline,Baseline,24.39,27.87,45.83,0.0,0.0,8.33,4.17,4.17,0.0,0.0,58.11,36.79,0.0
CarryMinati,Trigger,52.88,23.28,Baseline,Baseline,32.79,42.15,28.57,0.0,0.0,3.17,0.0,1.59,1.59,0.0,65.83,72.04,0.0
CarryMinati,Vardaan,22.59,4.97,Alliterative · Consonant-Rich,Baseline,59.26,0.0,5.26,0.0,0.0,1.75,0.0,0.0,0.0,31.79,74.95,52.36,0.0
CarryMinati,Warrior,34.39,42.31,Alliterative,Baseline,33.82,28.99,10.26,0.0,0.0,0.0,0.0,5.13,0.0,29.04,52.73,51.54,0.0
CarryMinati,Yalgaar,48.74,25.62,Alliterative · Consonant-Rich,Baseline,8.33,50.0,15.0,0.0,0.0,0.0,0.0,3.33,1.67,66.23,30.0,78.65,0.0
CarryMinati,Zindagi,46.63,0.0,Baseline,Baseline,26.67,34.29,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.7,0.0,0.0
Emiway Bantai,Checkmate,16.81,29.51,Baseline,Baseline,14.49,18.63,4.92,0.0,0.0,0.0,3.28,1.64,1.64,0.0,50.66,15.15,6.56
