artist,title,true_tier,pred_tier,conf,chars,rhyme,syllable,alliteration,vocabulary,wordplay,assonance,consonance,onomatopoeia,compound_dens,holorime_dens
Badshah,Abhi Toh Party Shuru Hui Hai,commercial,commercial,0.7074,1408,12.9,53.4,8.1,83.0,22.1,26.5,58.9,65.1,0.0,0.0
Badshah,Bachpan Ka Pyaar,commercial,commercial,0.7664,1451,31.5,24.4,0.0,41.2,24.6,19.3,9.1,0.0,0.0,0.0
Badshah,Bad Boy,commercial,commercial,0.8199,1044,6.0,25.8,0.0,50.6,91.9,8.0,9.8,0.0,0.0,0.0
Badshah,Bandook,commercial,commercial,0.7649,2718,57.7,68.3,0.0,38.6,35.6,51.5,18.1,0.0,0.0,0.0
Badshah,Daaku,commercial,commercial,0.7636,2342,20.2,33.9,4.3,51.9,63.2,68.1,18.7,0.0,0.0,0.0
Badshah,Dear Aditya,commercial,commercial,0.6787,4815,34.5,88.2,9.9,80.0,36.1,77.8,82.3,0.0,0.0,0.7
Badshah,Dj Waley Babu,commercial,commercial,0.7552,1625,9.5,80.3,0.0,24.6,29.0,19.4,18.8,0.0,0.0,0.0
Badshah,Driving Slow,commercial,commercial,0.6678,1643,25.5,85.9,0.0,66.7,88.2,97.0,85.0,0.0,0.0,0.0
Badshah,G-Yaan,commercial,commercial,0.4573,4596,32.5,83.0,0.0,80.0,81.6,27.5,77.5,9.7,0.0,0.0
Badshah,Genda Phool (Pahari Version),commercial,commercial,0.781,2912,49.8,72.8,0.0,44.2,75.7,34.8,62.0,0.0,0.0,0.0
Badshah,God Damn,commercial,commercial,0.5481,1788,42.1,72.2,0.0,78.4,54.2,94.5,61.4,85.2,0.0,0.0
Badshah,Happy Happy,commercial,commercial,0.9025,1334,33.3,70.6,8.8,36.9,23.9,29.3,76.1,85.4,0.0,0.0
Badshah,Hola At Your Boy,commercial,commercial,0.7608,3341,28.5,54.9,0.0,60.4,74.9,71.0,57.7,29.9,0.0,0.0
Badshah,Hot Launde,commercial,commercial,0.7512,2625,31.9,88.2,15.6,33.0,92.9,76.5,69.1,0.0,0.0,0.0
Badshah,Jugnu,commercial,commercial,0.7386,846,39.8,44.7,0.0,21.9,0.0,29.3,49.6,86.2,0.0,0.0
Badshah,Kar Gayi Chull,commercial,commercial,0.7438,1705,31.4,73.5,0.0,34.4,91.4,89.3,85.0,0.0,0.0,0.0
Badshah,Like A Snake,commercial,commercial,0.6391,3179,42.7,90.0,0.0,65.0,92.5,96.8,76.5,0.0,0.0,0.0
Badshah,MERCY,commercial,commercial,0.7175,1127,7.2,94.0,29.4,76.0,86.4,100.0,85.0,0.0,0.0,0.0
Badshah,Perfect,commercial,commercial,0.7166,1484,18.7,65.3,14.8,72.0,79.5,52.7,58.9,0.0,0.0,0.0
Badshah,Players,commercial,mid,0.4235,1878,22.0,78.2,6.2,33.4,52.3,20.7,61.3,22.1,0.0,0.0
Badshah,Proper Patola,commercial,commercial,0.5202,1593,17.8,27.2,5.8,51.6,0.0,69.4,52.2,0.0,0.0,0.0
Badshah,She Move It Like,commercial,commercial,0.7483,863,33.5,42.6,11.9,89.0,23.9,79.1,72.9,0.0,0.0,0.0
Badshah,Soulmate,commercial,commercial,0.6602,1345,20.7,27.8,0.0,28.7,14.8,16.2,10.6,0.0,0.0,0.0
Badshah,Tareefan,commercial,commercial,0.7762,1053,30.2,43.9,9.5,83.0,79.1,59.3,33.0,0.0,0.0,0.0
Badshah,Voodoo,commercial,commercial,0.6618,2025,50.7,29.4,6.9,23.6,95.4,8.4,14.7,0.0,0.0,0.0
Bali,Bar Bar,commercial,commercial,0.7341,1913,32.0,77.0,6.1,40.9,45.0,95.8,85.0,0.0,1.8,0.0
Bali,Feel Hai,commercial,commercial,0.7847,2114,42.5,29.4,8.8,34.1,30.5,18.9,19.2,41.8,0.0,0.0
Bali,Hutt Hutt,commercial,commercial,0.7973,2995,33.4,42.9,0.0,31.9,33.6,19.8,19.6,42.7,0.0,0.0
Bali,Kalesh,commercial,commercial,0.662,3564,31.1,84.4,0.0,41.2,35.2,70.3,42.8,11.6,0.0,0.0
Bali,Kya Baat Hai,commercial,commercial,0.8422,1789,20.0,63.5,6.2,28.1,6.1,29.3,42.1,0.0,0.0,0.0
Bali,Kya Haal Hai,commercial,commercial,0.7095,2204,17.8,29.1,0.0,28.3,32.4,13.7,9.3,0.0,0.0,0.0
Bali,No Mercy,commercial,commercial,0.6169,3017,19.7,72.7,4.0,60.6,60.7,67.2,60.5,0.0,0.0,0.0
Bali,Ohh Yeah,commercial,commercial,0.9525,2723,24.8,86.8,0.0,55.3,48.7,11.5,13.4,18.0,0.0,0.0
Bali,Pyaar Chahiye,commercial,commercial,0.5803,1506,39.6,29.2,0.0,53.1,5.9,19.4,16.8,0.0,0.0,0.0
Bali,Shor Sharaba,commercial,commercial,0.715,2261,24.7,36.6,8.6,28.3,4.8,15.6,11.7,28.5,0.0,0.0
Bali,Sunn Na,commercial,commercial,0.771,2769,28.0,28.9,0.0,38.8,41.3,18.0,15.6,0.0,0.0,0.0
Bali,Wow,commercial,commercial,0.7947,3081,46.2,71.5,6.4,54.8,27.1,88.9,85.0,0.0,0.0,0.0
Brodha V,Aigiri Nandini,mid,elite,0.9947,8987,50.6,95.0,65.5,49.1,3.0,93.9,85.0,0.0,0.0,0.0
Brodha V,Flex,mid,mid,0.6387,895,58.6,95.0,0.0,48.8,86.1,100.0,77.5,0.0,0.0,0.0
Brodha V,Forever,mid,mid,0.9939,3607,34.7,95.0,0.0,95.3,93.1,95.3,85.0,30.1,0.0,0.0
Brodha V,Ready Steady Po,mid,mid,0.9048,2231,17.3,67.3,19.8,28.4,26.2,18.4,21.5,88.3,0.0,0.0
Brodha V,Vainko,mid,mid,0.9711,2917,13.2,57.9,0.0,44.6,78.9,18.9,54.3,0.0,0.0,0.0
Calm,Bam Bam,elite,commercial,0.4583,1260,33.4,94.6,18.5,29.2,38.2,76.6,73.4,100.0,0.0,0.0
Calm,Ringtone,elite,commercial,0.7614,2391,22.0,65.5,3.9,28.4,20.2,17.9,15.1,0.0,0.0,0.0
CarryMinati,Date Kar Le,commercial,commercial,0.7792,1519,20.1,47.3,0.0,43.1,32.2,77.7,58.9,0.0,0.0,0.0
CarryMinati,Jalwa,commercial,commercial,0.5229,1471,63.6,43.9,0.0,80.0,76.3,43.9,42.7,0.0,0.0,0.0
CarryMinati,Trigger,commercial,commercial,0.5672,2190,52.8,62.6,0.0,93.5,29.5,68.1,85.0,0.0,0.0,0.0
CarryMinati,Vardaan,commercial,commercial,0.7207,1976,42.8,72.1,0.0,51.6,5.9,87.8,56.6,0.0,0.0,0.0
CarryMinati,Warrior,commercial,commercial,0.7596,2364,49.4,36.3,10.7,52.1,38.7,18.4,39.0,0.0,0.0,0.0
CarryMinati,Yalgaar,commercial,commercial,0.6893,2037,35.6,79.7,5.6,35.6,22.7,21.6,39.4,0.0,0.0,0.0
CarryMinati,Zindagi,commercial,commercial,0.7373,1307,46.2,49.2,0.0,26.9,0.0,85.6,36.2,0.0,0.0,0.0
Dino James,Bin Bulaye,commercial,commercial,0.5824,4267,34.2,44.8,0.0,85.2,56.9,21.7,24.8,0.0,0.0,0.0
